,FACILITY_ID,FACILITY_NAME_1,FIPS_1,COUNTY,NAICS_1,REPORTING_YEAR,UNIT_NAME_1,UNIT_TYPE,FUEL_TYPE_1,TIER,Capacity_1 (mmBtu/hr),FUEL_COM,FUEL_UNIT,ENERGY_COM_MMBtu,ENERGY_MMBtu_hr
12627,,Kohler Huntsville,1089.0,,326.0,,Small Boilers,,Gas 1,,5.0,,,,
12638,,Kohler Huntsville,1089.0,,326.0,,Small Boilers,,Gas 1,,5.0,,,,
12649,,Kohler Huntsville,1089.0,,326.0,,Small Boilers,,Gas 1,,5.0,,,,
12660,,Kohler Huntsville,1089.0,,326.0,,Small Boilers,,Gas 1,,5.0,,,,
12671,,Kohler Huntsville,1089.0,,326.0,,Small Boilers,,Gas 1,,5.0,,,,
12339,,Armstrong World Industries Mobile,1097.0,,339.0,,Boilers,,Gas 1,,5.0,,,,
12508,,Honda Mfg Lincoln,1121.0,,336.0,,PA-B,,Gas 1,,5.0,,,,
12533,,Honda Mfg Lincoln,1121.0,,336.0,,PA-B,,Gas 1,,5.0,,,,
12558,,Honda Mfg Lincoln,1121.0,,336.0,,PA-B,,Gas 1,,5.0,,,,
12628,,Tesoro,2122.0,,324.0,,Building Heat Boilers,,Gas 1,,5.0,,,,
12639,,Tesoro,2122.0,,324.0,,Building Heat Boilers,,Gas 1,,5.0,,,,
12650,,Tesoro,2122.0,,324.0,,Building Heat Boilers,,Gas 1,,5.0,,,,
12661,,Tesoro,2122.0,,324.0,,Building Heat Boilers,,Gas 1,,5.0,,,,
12672,,Tesoro,2122.0,,324.0,,Building Heat Boilers,,Gas 1,,5.0,,,,
12947,,Aerojet,5013.0,,332.0,,Boiler 1,,Gas 1,,5.0,,,,
12948,,Aerojet,5013.0,,332.0,,Boiler 1,,Gas 1,,5.0,,,,
12949,,Aerojet,5013.0,,332.0,,Boiler 1,,Gas 1,,5.0,,,,
12950,,Aerojet,5013.0,,332.0,,Boiler 1,,Gas 1,,5.0,,,,
12951,,Aerojet,5013.0,,332.0,,Boiler 1,,Gas 1,,5.0,,,,
12952,,Aerojet,5013.0,,332.0,,Boiler 1,,Gas 1,,5.0,,,,
12953,,Aerojet,5013.0,,332.0,,Boiler 1,,Gas 1,,5.0,,,,
12954,,Aerojet,5013.0,,332.0,,Boiler 1,,Gas 1,,5.0,,,,
12955,,Aerojet,5013.0,,332.0,,Boiler 1,,Gas 1,,5.0,,,,
12956,,Aerojet,5013.0,,332.0,,Boiler 1,,Gas 1,,5.0,,,,
12957,,Aerojet,5013.0,,332.0,,Boiler 1,,Gas 1,,5.0,,,,
12958,,Aerojet,5013.0,,332.0,,Boiler 1,,Gas 1,,5.0,,,,
12959,,Aerojet,5013.0,,332.0,,Boiler 1,,Gas 1,,5.0,,,,
12960,,Aerojet,5013.0,,332.0,,Boiler 1,,Gas 1,,5.0,,,,
12961,,Aerojet,5013.0,,332.0,,Boiler 1,,Gas 1,,5.0,,,,
12962,,Aerojet,5013.0,,332.0,,Boiler 1,,Gas 1,,5.0,,,,
12963,,Aerojet,5013.0,,332.0,,Boiler 1,,Gas 1,,5.0,,,,
12964,,Aerojet,5013.0,,332.0,,Boiler 1,,Gas 1,,5.0,,,,
12965,,Aerojet,5013.0,,332.0,,Boiler 1,,Gas 1,,5.0,,,,
12966,,Aerojet,5013.0,,332.0,,Boiler 1,,Gas 1,,5.0,,,,
12967,,Aerojet,5013.0,,332.0,,Boiler 1,,Gas 1,,5.0,,,,
12968,,Aerojet,5013.0,,332.0,,Boiler 1,,Gas 1,,5.0,,,,
12334,,American Tubing,5143.0,,332.0,,IA Boilers,,Gas 1,,5.0,,,,
12341,,N UM MI,6001.0,,336.0,,Admin Boilers,,Gas 1,,5.0,,,,
12340,,Ducommun Aero Structures,6037.0,,332.0,,B003705,,Gas 1,,5.0,,,,
13119,,Aerojet,6067.0,,336.0,,Small Boilers,,Gas 1,,5.0,,,,
13120,,Aerojet,6067.0,,336.0,,Small Boilers,,Gas 1,,5.0,,,,
13121,,Aerojet,6067.0,,336.0,,Small Boilers,,Gas 1,,5.0,,,,
13122,,Aerojet,6067.0,,336.0,,Small Boilers,,Gas 1,,5.0,,,,
13123,,Aerojet,6067.0,,336.0,,Small Boilers,,Gas 1,,5.0,,,,
13124,,Aerojet,6067.0,,336.0,,Small Boilers,,Gas 1,,5.0,,,,
13125,,Aerojet,6067.0,,336.0,,Small Boilers,,Gas 1,,5.0,,,,
13126,,Aerojet,6067.0,,336.0,,Small Boilers,,Gas 1,,5.0,,,,
13127,,Aerojet,6067.0,,336.0,,Small Boilers,,Gas 1,,5.0,,,,
13128,,Aerojet,6067.0,,336.0,,Small Boilers,,Gas 1,,5.0,,,,
13129,,Aerojet,6067.0,,336.0,,Small Boilers,,Gas 1,,5.0,,,,
13130,,Aerojet,6067.0,,336.0,,Small Boilers,,Gas 1,,5.0,,,,
13131,,Aerojet,6067.0,,336.0,,Small Boilers,,Gas 1,,5.0,,,,
13132,,Aerojet,6067.0,,336.0,,Small Boilers,,Gas 1,,5.0,,,,
13133,,Aerojet,6067.0,,336.0,,Small Boilers,,Gas 1,,5.0,,,,
13134,,Aerojet,6067.0,,336.0,,Small Boilers,,Gas 1,,5.0,,,,
13135,,Aerojet,6067.0,,336.0,,Small Boilers,,Gas 1,,5.0,,,,
13136,,Aerojet,6067.0,,336.0,,Small Boilers,,Gas 1,,5.0,,,,
13137,,Aerojet,6067.0,,336.0,,Small Boilers,,Gas 1,,5.0,,,,
13138,,Aerojet,6067.0,,336.0,,Small Boilers,,Gas 1,,5.0,,,,
13139,,Aerojet,6067.0,,336.0,,Small Boilers,,Gas 1,,5.0,,,,
13140,,Aerojet,6067.0,,336.0,,Small Boilers,,Gas 1,,5.0,,,,
